Are kids necessary for a fulfilling life? You are among roughly 1 in 5 people who aren't sure about this,Con cái có phải là cần thiết để cuộc sống trở nên trọn vẹn không? Quý vị trong số khoảng một phần năm mọi người không quả quyết về điều này
A clear majority of the population does not view having children as necessary to find fulfillment in life.,Một đa phần rõ ràng trong dân số không coi việc có con là cần thiết để cảm thấy trọn vẹn trong cuộc sống.
Having children is necessary in order to find fulfilment in life.,Có con là điều cần thiết để cảm thấy trọn vẹn trong cuộc sống.
Do you think that technology is making life in Australia better or worse overall?,"Quý vị cho là về tổng thể, công nghệ đang làm cho cuộc sống ở Úc trở nên tốt đẹp hơn hay tồi tệ hơn?"
You're more convinced that technology is having a positive effect on society than [[x]]% of Australians,"Quý vị tin chắc hơn so với [[x]]% người Úc là, công nghệ đang có tác động tích cực đến xã hội"
"Overall, Australians think technology is having a positive effect on jobs, the economy and education. But there is a down side: most say tech is having a negative effect on children, teens and mental health.","Về tổng thể, người Úc cho là công nghệ đang có tác động tích cực đến việc làm, nền kinh tế và giáo dục. Nhưng có mặt tiêu cực: hầu hết mọi người nói rằng công nghệ đang có tác động tiêu cực đến trẻ em, thanh thiếu niên và sức khỏe tâm thần."
Do you think that technology is making life in Australia better or worse overall?,"Quý vị cho là về tổng thể, công nghệ đang làm cho cuộc sống ở Úc trở nên tốt đẹp hơn hay tồi tệ hơn?"
You're more convinced that technology is having a negative effect on society than [[x]]% of Australians,"Quý vị tin chắc hơn với so với [[x]]% người Úc là, công nghệ đang có tác động tiêu cực đến xã hội"
"Overall, Australians think technology is having a positive effect on jobs, the economy and education. But there is a down side: most say tech is having a negative effect on children, teens and mental health.","Về tổng thể, người Úc cho là công nghệ đang có tác động tích cực đến việc làm, nền kinh tế và giáo dục. Nhưng có mặt tiêu cực: hầu hết mọi người nói rằng công nghệ đang có tác động tiêu cực đến trẻ em, thanh thiếu niên và sức khỏe tâm thần."
Do you think that technology is making life in Australia better or worse overall?,"Quý vị cho là về tổng thể, công nghệ đang làm cho cuộc sống ở Úc trở nên tốt đẹp hơn hay tồi tệ hơn?"
You're among the [[x]]% of Australians who think technology's impact on society is a net neutral,Quý vị trong số [[x]]% người Úc cho là sự tác động của công nghệ đến xã hội là ở chính giữa
Most people think tech is having a positive effect on Australia overall but one-quarter think it's making life worse.,"Hầu hết mọi người cho là về tổng thể, công nghệ đang có tác động tích cực đến nước Úc nhưng một phần tư cho là nó đang làm cho cuộc sống tồi tệ hơn."
Do you think that technology is making life in Australia better or worse overall?,"Quý vị cho là về tổng thể, công nghệ đang làm cho cuộc sống ở Úc trở nên tốt đẹp hơn hay tồi tệ hơn?"
Australians should show more respect for one another.,Người Úc nên cho thấy sự tôn trọng nhiều hơn đối với người khác.
You're with the overwhelming majority of Australians who think we should be more respectful,Quý vị đang cùng với đa số áp đảo người Úc nghĩ là chúng ta nên lễ độ hơn
"Regardless of age, gender or ancestry, most Australians would like to see people treat each other with greater civility.","Bất kể tuổi tác, phái tính hay giống nòi, hầu hết người Úc muốn thấy mọi người đối xử với nhau với sự văn minh hơn."
Australians should show more respect for one another.,Người Úc nên cho thấy sự tôn trọng lẫn nhau nhiều hơn.
Only 1% of people agree with you that there's no need for Australians to show more respect for one another,"Chỉ 1% mọi người đồng ý với quý vị là, người Úc không cần phải cho thấy sự tôn trọng lẫn nhau nhiều hơn"
"Regardless of age, gender or ancestry, an overwhelming majority of Australians would like to see people treat each other with greater civility.","Bất kể tuổi tác, phái tính hay giống nòi, một đa số áp đảo  người Úc muốn thấy mọi người đối xử với nhau với sự văn minh hơn."
Australians should show more respect for one another.,Người Úc nên cho thấy sự tôn trọng lẫn nhau nhiều hơn.
The overwhelming majority of Australians think we should be more respectful,Đa số áp đảo người Úc nghĩ là chúng ta nên lễ độ hơn
"Regardless of age, gender or ancestry, most Australians would like to see people treat each other with greater civility.","Bất kể tuổi tác, phái tính hay giống nòi, hầu hết người Úc muốn thấy mọi người đối xử với nhau với sự văn minh hơn."
Australians should show more respect for one another.,Người Úc nên cho thấy sự tôn trọng lẫn nhau nhiều hơn.
"In general, how Australian would you say you feel?","Về tổng quát, quý vị có thể nói là mình cảm thấy mình mang chất Úc ở mức độ nào?"
You feel more Australian than [[x]]% of people,Quý vị cảm thấy mang nhiều chất Úc hơn [[x]]% mọi người
"In general, how Australian would you say you feel?","Về tổng quát, quý vị có thể nói là mình cảm thấy mình mang chất Úc ở mức độ nào? "
You feel less Australian than [[x]]% of people,Quý vị cảm thấy mang ít chất Úc hơn [[x]]% mọi người
"It looks like Aussies tend to feel, well, pretty Australian. More than one-third of people said they felt 10/10 Australian. ",Xem như có vẻ người Úc có xu hướng cảm thấy khá đậm chất Úc. Hơn một phần ba mọi người nói là họ cảm thấy mình là người Úc 10/10. 
